what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1308206885172
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1308206885173
os,sysinfo,,,"macosx",1308206885177
arch,sysinfo,,,"x86_64",1308206885177
ws,sysinfo,,,"cocoa",1308206885177
locale,sysinfo,,,"en_US",1308206885177
processors,sysinfo,,,"2",1308206885177
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1308206885177
java.runtime.version,sysinfo,,,"1.6.0_24-b07-334-10M3326",1308206885177
java.specification.name,sysinfo,,,"Java Platform API Specification",1308206885177
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1308206885177
java.specification.version,sysinfo,,,"1.6",1308206885177
java.vendor,sysinfo,,,"Apple Inc.",1308206885177
java.version,sysinfo,,,"1.6.0_24",1308206885177
java.vm.info,sysinfo,,,"mixed mode",1308206885177
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1308206885177
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1308206885177
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1308206885177
java.vm.specification.version,sysinfo,,,"1.0",1308206885177
java.vm.vendor,sysinfo,,,"Apple Inc.",1308206885177
java.vm.version,sysinfo,,,"19.1-b02-334",1308206885177
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1308206890986
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1308206891001
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1308206891060
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1308206891075
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1308206896630
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1308206970824
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1308206970999
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1308206971645
stopped,bundle,org.zend.php.debug.debugger,5.3.18.v20100603,"org.zend.php.debug.debugger",1308206971646
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1308206971647
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1308206971647
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1308206971648
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1308206971649
stopped,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1308206971650
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1308206971653
stopped,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1308206971656
stopped,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1308206971658
stopped,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1308206971659
stopped,bundle,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui",1308206971661
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1308206971663
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1308206971664
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1308206971667
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1308206971674
stopped,bundle,org.eclipse.rse.importexport,1.2.100.v201003010830,"org.eclipse.rse.importexport",1308206971676
stopped,bundle,org.eclipse.rse.shells.ui,3.0.200.v201006041352,"org.eclipse.rse.shells.ui",1308206971677
stopped,bundle,org.eclipse.rse.files.ui,3.1.100.v201005221100,"org.eclipse.rse.files.ui",1308206971678
